Attack,Layer,K,Metric,Raw_AUC,Corrected_AUC,Direction
refool,layer4,1,manhattan,0.8468,0.8468,Outward
refool,layer4,3,manhattan,0.8796,0.8796,Outward
refool,layer4,5,manhattan,0.8947,0.8947,Outward
refool,layer4,10,manhattan,0.9154,0.9154,Outward
refool,layer4,20,manhattan,0.9346,0.9346,Outward
refool,layer4,50,manhattan,0.9554,0.9554,Outward
refool,layer4,1,euclidean,0.8521,0.8521,Outward
refool,layer4,3,euclidean,0.8870,0.8870,Outward
refool,layer4,5,euclidean,0.9033,0.9033,Outward
refool,layer4,10,euclidean,0.9247,0.9247,Outward
refool,layer4,20,euclidean,0.9440,0.9440,Outward
refool,layer4,50,euclidean,0.9636,0.9636,Outward
sig,layer1,1,manhattan,0.5138,0.5138,Outward
sig,layer1,3,manhattan,0.8287,0.8287,Outward
sig,layer1,5,manhattan,0.8910,0.8910,Outward
sig,layer1,10,manhattan,0.9260,0.9260,Outward
sig,layer1,20,manhattan,0.9382,0.9382,Outward
sig,layer1,50,manhattan,0.9417,0.9417,Outward
sig,layer1,1,euclidean,0.8304,0.8304,Outward
sig,layer1,3,euclidean,0.9302,0.9302,Outward
sig,layer1,5,euclidean,0.9464,0.9464,Outward
sig,layer1,10,euclidean,0.9553,0.9553,Outward
sig,layer1,20,euclidean,0.9580,0.9580,Outward
sig,layer1,50,euclidean,0.9573,0.9573,Outward
sig,layer2,1,manhattan,0.5946,0.5946,Outward
sig,layer2,3,manhattan,0.8281,0.8281,Outward
sig,layer2,5,manhattan,0.8902,0.8902,Outward
sig,layer2,10,manhattan,0.9321,0.9321,Outward
sig,layer2,20,manhattan,0.9508,0.9508,Outward
sig,layer2,50,manhattan,0.9621,0.9621,Outward
sig,layer2,1,euclidean,0.9582,0.9582,Outward
sig,layer2,3,euclidean,0.9920,0.9920,Outward
sig,layer2,5,euclidean,0.9958,0.9958,Outward
sig,layer2,10,euclidean,0.9975,0.9975,Outward
sig,layer2,20,euclidean,0.9981,0.9981,Outward
sig,layer2,50,euclidean,0.9983,0.9983,Outward
sig,layer3,1,manhattan,1.0000,1.0000,Outward
sig,layer3,3,manhattan,1.0000,1.0000,Outward
sig,layer3,5,manhattan,1.0000,1.0000,Outward
sig,layer3,10,manhattan,1.0000,1.0000,Outward
sig,layer3,20,manhattan,1.0000,1.0000,Outward
sig,layer3,50,manhattan,1.0000,1.0000,Outward
sig,layer3,1,euclidean,1.0000,1.0000,Outward
sig,layer3,3,euclidean,1.0000,1.0000,Outward
sig,layer3,5,euclidean,1.0000,1.0000,Outward
sig,layer3,10,euclidean,1.0000,1.0000,Outward
sig,layer3,20,euclidean,1.0000,1.0000,Outward
sig,layer3,50,euclidean,1.0000,1.0000,Outward
sig,layer4,1,manhattan,1.0000,1.0000,Outward
sig,layer4,3,manhattan,1.0000,1.0000,Outward
sig,layer4,5,manhattan,1.0000,1.0000,Outward
sig,layer4,10,manhattan,1.0000,1.0000,Outward
sig,layer4,20,manhattan,1.0000,1.0000,Outward
sig,layer4,50,manhattan,1.0000,1.0000,Outward
sig,layer4,1,euclidean,1.0000,1.0000,Outward
sig,layer4,3,euclidean,1.0000,1.0000,Outward
sig,layer4,5,euclidean,1.0000,1.0000,Outward
sig,layer4,10,euclidean,1.0000,1.0000,Outward
sig,layer4,20,euclidean,1.0000,1.0000,Outward
sig,layer4,50,euclidean,1.0000,1.0000,Outward
trojannn,layer1,1,manhattan,0.5026,0.5026,Outward
trojannn,layer1,3,manhattan,0.8708,0.8708,Outward
trojannn,layer1,5,manhattan,0.9183,0.9183,Outward
trojannn,layer1,10,manhattan,0.9410,0.9410,Outward
trojannn,layer1,20,manhattan,0.9469,0.9469,Outward
trojannn,layer1,50,manhattan,0.9447,0.9447,Outward
trojannn,layer1,1,euclidean,0.5680,0.5680,Outward
trojannn,layer1,3,euclidean,0.8727,0.8727,Outward
trojannn,layer1,5,euclidean,0.9113,0.9113,Outward
trojannn,layer1,10,euclidean,0.9305,0.9305,Outward
trojannn,layer1,20,euclidean,0.9353,0.9353,Outward
trojannn,layer1,50,euclidean,0.9322,0.9322,Outward
trojannn,layer2,1,manhattan,0.6026,0.6026,Outward
trojannn,layer2,3,manhattan,0.8862,0.8862,Outward
trojannn,layer2,5,manhattan,0.9302,0.9302,Outward
trojannn,layer2,10,manhattan,0.9514,0.9514,Outward
trojannn,layer2,20,manhattan,0.9568,0.9568,Outward
trojannn,layer2,50,manhattan,0.9543,0.9543,Outward
trojannn,layer2,1,euclidean,0.6450,0.6450,Outward
trojannn,layer2,3,euclidean,0.8699,0.8699,Outward
trojannn,layer2,5,euclidean,0.9058,0.9058,Outward
trojannn,layer2,10,euclidean,0.9239,0.9239,Outward
trojannn,layer2,20,euclidean,0.9275,0.9275,Outward
trojannn,layer2,50,euclidean,0.9218,0.9218,Outward
trojannn,layer3,1,manhattan,0.9268,0.9268,Outward
trojannn,layer3,3,manhattan,0.9735,0.9735,Outward
trojannn,layer3,5,manhattan,0.9801,0.9801,Outward
trojannn,layer3,10,manhattan,0.9843,0.9843,Outward
trojannn,layer3,20,manhattan,0.9860,0.9860,Outward
trojannn,layer3,50,manhattan,0.9865,0.9865,Outward
trojannn,layer3,1,euclidean,0.9528,0.9528,Outward
trojannn,layer3,3,euclidean,0.9845,0.9845,Outward
trojannn,layer3,5,euclidean,0.9885,0.9885,Outward
trojannn,layer3,10,euclidean,0.9906,0.9906,Outward
trojannn,layer3,20,euclidean,0.9912,0.9912,Outward
trojannn,layer3,50,euclidean,0.9907,0.9907,Outward
trojannn,layer4,1,manhattan,0.9963,0.9963,Outward
trojannn,layer4,3,manhattan,0.9970,0.9970,Outward
trojannn,layer4,5,manhattan,0.9970,0.9970,Outward
trojannn,layer4,10,manhattan,0.9968,0.9968,Outward
trojannn,layer4,20,manhattan,0.9960,0.9960,Outward
trojannn,layer4,50,manhattan,0.9942,0.9942,Outward
trojannn,layer4,1,euclidean,0.9983,0.9983,Outward
trojannn,layer4,3,euclidean,0.9986,0.9986,Outward
trojannn,layer4,5,euclidean,0.9986,0.9986,Outward
trojannn,layer4,10,euclidean,0.9985,0.9985,Outward
trojannn,layer4,20,euclidean,0.9982,0.9982,Outward
trojannn,layer4,50,euclidean,0.9974,0.9974,Outward
wanet,layer1,1,manhattan,0.0018,0.9982,Inward
wanet,layer1,3,manhattan,0.0642,0.9358,Inward
wanet,layer1,5,manhattan,0.1732,0.8268,Inward
wanet,layer1,10,manhattan,0.3305,0.6695,Inward
wanet,layer1,20,manhattan,0.4312,0.5688,Inward
wanet,layer1,50,manhattan,0.4963,0.5037,Inward
wanet,layer1,1,euclidean,0.0082,0.9918,Inward
wanet,layer1,3,euclidean,0.0884,0.9116,Inward
wanet,layer1,5,euclidean,0.2054,0.7946,Inward
wanet,layer1,10,euclidean,0.3550,0.6450,Inward
wanet,layer1,20,euclidean,0.4456,0.5544,Inward
wanet,layer1,50,euclidean,0.5030,0.5030,Outward
wanet,layer2,1,manhattan,0.0207,0.9793,Inward
wanet,layer2,3,manhattan,0.1426,0.8574,Inward
wanet,layer2,5,manhattan,0.2728,0.7272,Inward
wanet,layer2,10,manhattan,0.4416,0.5584,Inward
wanet,layer2,20,manhattan,0.5472,0.5472,Outward
wanet,layer2,50,manhattan,0.6152,0.6152,Outward
wanet,layer2,1,euclidean,0.0488,0.9512,Inward
wanet,layer2,3,euclidean,0.2087,0.7913,Inward
wanet,layer2,5,euclidean,0.3351,0.6649,Inward
wanet,layer2,10,euclidean,0.4822,0.5178,Inward
wanet,layer2,20,euclidean,0.5705,0.5705,Outward
wanet,layer2,50,euclidean,0.6250,0.6250,Outward
wanet,layer3,1,manhattan,0.0739,0.9261,Inward
wanet,layer3,3,manhattan,0.1974,0.8026,Inward
wanet,layer3,5,manhattan,0.2707,0.7293,Inward
wanet,layer3,10,manhattan,0.3475,0.6525,Inward
wanet,layer3,20,manhattan,0.3963,0.6037,Inward
wanet,layer3,50,manhattan,0.4318,0.5682,Inward
wanet,layer3,1,euclidean,0.0825,0.9175,Inward
wanet,layer3,3,euclidean,0.2022,0.7978,Inward
wanet,layer3,5,euclidean,0.2740,0.7260,Inward
wanet,layer3,10,euclidean,0.3517,0.6483,Inward
wanet,layer3,20,euclidean,0.4024,0.5976,Inward
wanet,layer3,50,euclidean,0.4389,0.5611,Inward
wanet,layer4,1,manhattan,0.3266,0.6734,Inward
wanet,layer4,3,manhattan,0.4093,0.5907,Inward
wanet,layer4,5,manhattan,0.4414,0.5586,Inward
wanet,layer4,10,manhattan,0.4710,0.5290,Inward
wanet,layer4,20,manhattan,0.4909,0.5091,Inward
wanet,layer4,50,manhattan,0.5075,0.5075,Outward
wanet,layer4,1,euclidean,0.3496,0.6504,Inward
wanet,layer4,3,euclidean,0.4295,0.5705,Inward
wanet,layer4,5,euclidean,0.4602,0.5398,Inward
wanet,layer4,10,euclidean,0.4882,0.5118,Inward
wanet,layer4,20,euclidean,0.5066,0.5066,Outward
wanet,layer4,50,euclidean,0.5196,0.5196,Outward
